Entity,AttributeName,Attribute
密度板,别名,纤维板
葡萄蔓枯病,主要为害部位,枝蔓
坎德拉,性别,男
坎德拉,国籍,法国
坎德拉,场上位置,后卫
转子莲,界,植物界
贝叶斯,出生地,伦敦
贝叶斯,国籍,英国
丁加,国籍,巴西
丁加,运动项目,足球
凌道扬,出生日期,1888年
凌道扬,性别,男
凌道扬,民族,汉族
凌道扬,国籍,中国
凌道扬,去世日期,1993年
大佛肚竹,界,植物界
翰,笔画,16
翰,部首,羽
子思,姓名,孔伋
子思,所处时代,周朝
子思,民族族群,汉族
巡洋舰,所属军队,海军
巡洋舰,诞生时间,17世纪
椰子缢胸叶甲,界,动物界
亚心形扁藻,中文别名,扁藻
亚心形扁藻,界,植物界
云苓,中文学名,茯苓
云苓,界,真菌界
云苓,门,担子菌门
云苓,纲,伞菌纲
云苓,目,多孔菌目
云苓,科,多孔菌科
云苓,种,茯苓
宫颈粘液,影响因素,雌激素
鸳鸯凤冠,界,植物界
鸳鸯凤冠,门,被子植物门
鸳鸯凤冠,科,山茶科
蕨类植物,界,植物界
蕨类植物,门,蕨类植物门
伦敦,外文名,London
伦敦,行政类别,直辖市
伦敦,市长,鲍里斯·约翰逊
彭佳屿,所属国家,中国
彭佳屿,所属省份,台湾省
膜法,英文名,RO
誉,笔画,13
誉,部首,言
誉,部首笔划,7
大灰象,界,动物界
大灰象,亚纲,有翅亚纲
湫,笔画,12
梅特,国籍,科特迪瓦
梅特,运动项目,足球
茄子,界,植物界
草药,界,植物界
草药,门,被子植物门
草药,纲,双子叶植物纲
艾博特,出生日期,1872年
艾博特,性别,男
艾博特,出生地,新罕布什尔州
艾博特,国籍,美国
海螂目,界,动物界
海螂目,门,软体动物门
海螂目,纲,双壳纲
海螂目,亚纲,异齿亚纲
心肌梗死,就诊科室,内科
心肌梗死,发病部位,胸部
拱状灵芝,界,真菌界
蒌蒿,中文学名,芦蒿
蒌蒿,界,植物界
蒌蒿,门,被子植物门
蒌蒿,纲,双子叶植物纲
蒌蒿,目,桔梗目
蒌蒿,科,菊科
蒌蒿,属,蒿属
纳木错,地理位置,西藏
纳木错,最深深度,33
纳木错,类型,咸水湖
纳木错,湖中岛屿,5
温县,行政类别,县
温县,行政类别,县
高粱属,界,植物界
水鳖属,界,植物界
绿鳍马面鲀,界,动物界
秭归脐橙,界,植物界
秭归脐橙,门,被子植物门
秭归脐橙,纲,双子叶植物纲
秭归脐橙,目,无患子目
秭归脐橙,科,芸香科
秭归脐橙,属,柑橘属
维尔纳,国籍,瑞士
蒙古栎,界,植物界
双流,别称,双流区
双流,地方特产,辣椒
双流,机场,成都双流国际机场
双流,行政类别,区
双流,地方特产,辣椒
双流,行政类别,区
地质学,学科,自然科学
雪鹀,界,动物界
雪鹀,门,脊索动物门
雪鹀,纲,鸟纲
雪鹀,目,雀形目
雪鹀,科,雀科
木香,属 于,草药
正切函数,简 写,tan
马里奥特,国籍,法国
马里奥特,职业,物理学家
马坝人,界,动物界
马坝人,门,脊索动物门
马坝人,纲,哺乳纲
马坝人,目,灵长目
马坝人,科,人科
马坝人,属,人属
马坝人,种,直立人
县,部外笔画,5
县,总笔画数,7
宝绿,中文学名,佛手掌
宝绿,界,植物界
宝绿,科,番杏科
扇骨木,中文学名,石楠
扇骨木,界,植物界
扇骨木,种,石楠
关节脱位,别名,脱臼
关节脱位,就诊科室,外科
关节脱位,发病部位,全身
书店,创始人,明星
隆德,政府驻地,城关镇
瓜州,中文名,瓜州县
瓜州,别称,安西县
四通阀,类型,机械
Cygnus,赤纬,44
Cygnus,亮星数目,4
咖啡豆象,界,动物界
衣藻属,界,植物界
衣藻属,门,绿藻
衣藻属,纲,绿藻
衣藻属,目,团藻
衣藻属,科,衣藻
脂溶性维生素,适应症,维生素缺乏症
库车,中文名,库车县
蓖麻籽,中文名,蓖麻子
蓖麻籽,界,植物界
蓖麻籽,门,被子植物门
蓖麻籽,纲,双子叶植物纲
蓖麻籽,目,金虎尾目
蓖麻籽,属,蓖麻属
蓖麻籽,种,蓖麻
灶心土,中文名,伏龙肝
灶心土,界,植物界
灶心土,种,伏龙肝
缺氧,就诊科室,内科
内热,发病部位,眼
世界鸟类,语种,简体中文
布特南特,性别,男
布特南特,国籍,德国
布特南特,职业,化学家
卢,笔画,5
卢,部首,卜
郯城,行政类别,县
郯城,行政类别,县
斐济群岛,所属洲,大洋洲
青菜,中文学名,薹菜
青菜,界,植物界
青菜,门,被子植物门
青菜,纲,双子叶植物纲
青菜,目,罂粟目
青菜,科,十字花科
青菜,属,芸苔属
青菜,亚种,薹菜
希特利,籍贯,新西兰
希特利,国籍,新西兰
希特利,职业,官员
鱼纲,界,动物界
珠海市,行政类别,地级市
珠海市,地方方言,粤语
悬竹属,界,植物界
新西兰,所属洲,大洋洲
新西兰,官方语言,英语
新西兰,首都,惠灵顿
新西兰,国家结构,单一制
新西兰,最大城市,奥克兰
新西兰,中央银行,新西兰储备银行
life,词性,名词
青蛤,界,动物界
青蛤,门,软体动物门
青蛤,纲,瓣鳃纲
青蛤,目,帘蛤目
青蛤,科,帘蛤科
毒参,界,植物界
毒参,门,种子植物门
毒参,纲,双子叶植物纲
毒参,目,伞形目
毒参,科,伞形科
毒参,分布区域,新疆
庐山,建立时间,1982
庐山,景区相关名人,李白
庐山,类别,风景名胜
武功县,行政类别,县
po,中文名称,钋
po,符号,Po
po,序号,84
po,元素分区,金属元素
榜,笔画,14
榜,部首,木
巴楚,中文名,巴楚县
巴楚,建立时间,1913年
巴楚,地方方言,维吾尔语
毛绒,上映地区,美国
毛绒,语言版本,英语
毛绒,画面颜色,彩色
邰,笔画,7
Gg,简称,GG
细裂槭,界,植物界
内分泌疾病,就诊科室,内科
惣,笔画,12
莫氏硬度,提出时间,1812年
