0	鲤鱼	200	菊花狗	400	学位袍	600	钩爪	800	赌博机
1	金鱼	201	丝毛狗	401	手风琴	601	衬裙	801	通气管
2	大白鲨	202	爱尔兰软毛犬	402	原声吉他	602	单杠	802	雪橇
3	虎鲨	203	西部高地白犬	403	航母	603	马车	803	扫雪机
4	锤头鲨	204	拉萨，拉萨犬	404	客机	604	沙漏	804	皂液器
5	电鳗	205	平滑毛寻回犬	405	飞船	605	音乐播放器	805	足球
6	黄貂鱼	206	卷毛寻回犬	406	祭坛	606	铁	806	短袜
7	公鸡	207	金毛猎犬	407	救护车	607	南瓜灯	807	太阳能盘
8	母鸡	208	拉布拉多猎犬	408	水陆两用飞机构	608	牛仔裤	808	宽边帽
9	鸵鸟	209	乞沙比克猎犬	409	模拟时钟	609	吉普车	809	一碗汤
10	燕雀	210	德国短毛猎犬	410	蜂房	610	T恤	810	空格键
11	金翅雀	211	匈牙利维兹拉犬	411	围裙	611	拼图游戏	811	空间加热器
12	朱雀	212	英国赛特犬	412	垃圾桶	612	黄包车	812	航天飞机
13	雪鸟	213	爱尔兰塞特猎犬	413	突击步枪	613	操纵杆	813	铲
14	雀鸟	214	戈登雪达犬	414	背包	614	和服	814	快艇
15	美洲知更鸟	215	布列塔尼犬	415	面包店	615	护膝	815	蜘蛛网
16	鹎	216	黄毛猎犬	416	平衡梁	616	结	816	主轴
17	松鸦	217	英国史宾格犬	417	气球	617	实验室工作服	817	跑车
18	喜鹊	218	威尔士激飞猎犬	418	圆珠笔	618	钢包	818	聚光灯
19	山雀	219	英国可卡犬	419	创可贴	619	灯罩	819	舞台
20	河鸟	220	萨塞克斯猎犬	420	班卓琴	620	笔记本电脑	820	蒸汽机车
21	风筝	221	爱尔兰水猎犬	421	栏杆	621	割草机	821	钢拱桥
22	秃头鹰	222	哥威斯犬	422	杠铃	622	镜头盖	822	钢鼓
23	秃鹫	223	舒柏奇犬	423	理发椅	623	开信刀	823	听诊器
24	大灰猫头鹰	224	牧羊犬	424	理发店	624	图书馆	824	长巾
25	欧洲火蝾螈	225	马里努阿犬	425	谷仓	625	救生艇	825	石头墙
26	蝾螈	226	伯瑞犬	426	气压计	626	打火机	826	秒表
27	水蜥蜴	227	澳大利亚护羊犬	427	木桶	627	豪华轿车	827	火炉
28	斑点蝾螈	228	可蒙犬	428	手推车	628	班轮	828	过滤器
29	美西螈	229	英国牧羊犬	429	棒球	629	口红	829	有轨电车
30	牛蛙	230	喜乐蒂牧羊犬	430	篮球	630	拖鞋	830	担架
31	树蛙	231	牧羊犬	431	摇篮	631	洗剂	831	工作室沙发
32	尾蟾	232	边境牧羊犬	432	巴松管	632	扬声器	832	佛塔
33	红海龟	233	法兰德斯畜牧犬	433	游泳帽	633	放大镜	833	潜艇
34	棱皮龟	234	罗威犬	434	浴巾	634	锯木厂	834	西服
35	泥龟	235	德国牧羊犬	435	浴缸	635	磁罗盘	835	日晷
36	鳖	236	杜宾犬	436	沙滩车	636	邮袋	836	太阳镜
