city,relation,weather
珠海市,气候,亚热带季风气候
莆田市,气候,亚热带海洋性季风气候
日照市,气候,暖温带半湿润性季风气候
大连市,气候,海洋性温带暖热性气候
迁安市,气候,暖温带大陆性季风气候
深圳市,气候,亚热带海洋性季风气候
乌兰察布市,气候,中温带大陆性季风气候
桦甸市,气候,中温带湿润气候
漳州市,气候,亚热带季风性湿润气候
北海市,气候,亚热带季风气候
格尔木市,气候,大陆高原气候
厦门市,气候,亚热带海洋性季风气候
贵阳市,气候,亚热带湿润温和型气候
牡丹江市,气候,温带大陆性季风气候
开封市,气候,暖温带大陆性季风气候
高雄市,气候,热带季风气候
酒泉市,气候,温带大陆性荒漠气候
呼和浩特市,气候,中温带大陆性季风气候
仙桃市,气候,亚热带季风气候
赤峰市,气候,中温带半干旱大陆性季风气候区
常熟市,气候,亚热带季风性气候
信宜市,气候,亚热带季风气候
东阳市,气候,亚热带季风气候
河津市,气候,暖温带半湿润大陆性季风气候
三明市,气候,亚热带海洋性季风气候
临江市,气候,温带季风气候
沧州市,气候,暖温带半干旱半湿润季风气候
南充市,气候,亚热带季风湿润性气候
普宁市,气候,南亚热带季风气候
阜阳市,气候,温带季风气候
兰州市,气候,温带大陆性气候
长沙市,气候,亚热带季风性湿润气候
扎兰屯市,气候,温带半湿润大陆性季风气候区
中山市,气候,亚热带季风气候
芜湖市,气候,亚热带湿润季风气候
富锦市,气候,温带大陆性气候
莱芜市,气候,暖温带大陆性季风气候
杭州市,气候,亚热带季风性气候
盘锦市,气候,温带季风性气候
遂宁市,气候,亚热带湿润季风气候
井冈山市,气候,亚热带季风气候
濮阳市,气候,温带季风性气候
通辽市,气候,温带大陆性气候
陇南市,气候,亚热带向暖温带过渡区
恩施市,气候,中亚热带季风型山地湿润性气候
北安市,气候,中温带大陆性季风气候
曲阜市,气候,暖温带大陆性季风气候
成都市,气候,亚热带季风气候
宜兴市,气候,亚热带季风气候
德兴市,气候,亚热带季风性湿润气候
商洛市,气候,暖温带半湿润季风山地气候
海口市,气候,热带海洋性季风气候
马鞍山市,气候,亚热带湿润季风气候
永州市,气候,亚热带季风气候
雅安市,气候,亚热带季风气候
亳州市,气候,亚热带季风气候
乳山市,气候,暖温带东亚季风型大陆性气候
霸州市,气候,温带大陆性季风性气候
开远市,气候,亚热带季风气候
铜川市,气候,大陆性季风气候
灵武市,气候,中温带大陆性气候
桐城市,气候,亚热带气候
汕头市,气候,亚热带季风气候
沈阳市,气候,温带季风气候
东兴市,气候,亚热带季风气候
荥阳市,气候,温带季风气候
湖州市,气候,亚热带湿润季风气候
岳阳市,气候,亚热带季风气候
乌鲁木齐市,气候,温带大陆性气候
桃园市,气候,亚热带季风气候
塔城市,气候,中温带大陆性干旱气候
阿尔山市,气候,寒温带大陆性季风气候
台北市,气候,热带季风气候
台北市,气候,亚热带季风气候
高邮市,气候,亚热带温润季风气候
鄂州市,气候,亚热带季风气候
南宫市,气候,暖温带亚湿润大陆性季风型气候
衢州市,气候,亚热带季风气候
涟源市,气候,大陆性中亚热带季风湿润气候
日喀则市,气候,高原山地气候
萍乡市,气候,亚热带季风气候
常州市,气候,亚热带季风气候
西安市,气候,温带季风气候
汾阳市,气候,温带大陆性气候
包头市,气候,半干旱中温带大陆性季风气候
武安市,气候,温带大陆性季风气候
巴中市,气候,亚热带大陆性湿润季风气候
珲春市,气候,中温带海洋性季风气候
绍兴市,气候,亚热带季风气候
淮南市,气候,亚热带季风气候
公主岭市,气候,温带季风气候
枝江市,气候,亚热带季风气候
齐齐哈尔市,气候,中温带大陆性季风气候
盐城市,气候,亚热带季风气候
阿图什市,气候,暖温带大陆性干旱气候
德州市,气候,温带大陆性季风气候
九江市,气候,亚热带季风气候
吉林市,气候,温带季风气候
福州市,气候,亚热带海洋性季风气候
南雄市,气候,亚热带季风气候
抚顺市,气候,大陆性季风气候
泉州市,气候,亚热带海洋性季风气候
湘乡市,气候,亚热带季风性湿润气候
如皋市,气候,北亚热带海洋性季风气候
张家口市,气候,温带大陆性气候
三河市,气候,温带季风气候
耒阳市,气候,亚热带季风性湿润气候区
兰溪市,气候,亚热带季风气候
镇江市,气候,北亚热带季风气候
吐鲁番市,气候,大陆性暖温带荒漠气候
毕节市,气候,北亚热带湿润季风气候
兴平市,气候,暖温带大陆性季风气候
乐山市,气候,亚热带季风气候
安陆市,气候,亚热带季风气候
洛阳市,气候,温带大陆性气候
商丘市,气候,温带大陆季风性气候
常德市,气候,中亚热带湿润季风气候
昆明市,气候,亚热带高原季风气候
福鼎市,气候,中亚热带季风气候
韶关市,气候,亚热带季风气候
石首市,气候,亚热带季风气候
徐州市,气候,温带季风气候
樟树市,气候,亚热带季风气候
绵阳市,气候,亚热带季风性湿润气候
瑞昌市,气候,南亚热带季风气候
揭阳市,气候,亚热带季风气候
苏州市,气候,亚热带季风性湿润气候
邵武市,气候,亚热带湿润性气候
牙克石市,气候,寒温带半湿润大陆性季风气候区
长治市,气候,暖温带半湿润大陆性季风气候
遵化市,气候,暖温带大陆性季风气候
密山市,气候,中温带大陆性季风气候
邯郸市,气候,温带大陆性季风气候
嘉兴市,气候,亚热带季风气候
高州市,气候,亚热带季风气候
固原市,气候,温带大陆性气候
儋州市,气候,热带季风气候
宜宾市,气候,亚热带季风气候
韩城市,气候,冬季寒冷少雪，夏季炎热多雨（温带季风气候）
丽水市,气候,亚热带季风气候
南平市,气候,亚热带湿润性气候
阆中市,气候,亚热带季风气候
台州市,气候,亚热带季风气候
莱西市,气候,温带海洋性季风气候
津市,气候,中亚热带湿润季风气候
大庆市,气候,温带季风气候
登封市,气候,温带季风气候
临汾市,气候,温带大陆性气候
赣州市,气候,亚热带季风气候
宁乡市,气候,亚热带季风性湿润气候
通化市,气候,北温带大陆性季风气候
大同市,气候,大陆性半干旱季风气候
湘潭市,气候,亚热带季风性湿润气候
舟山市,气候,亚热带季风气候
兴城市,气候,温带季风性气候
延安市,气候,内陆干旱半干旱气候
渭南市,气候,温带大陆性气候
新乐市,气候,温带季风气候
白银市,气候,中温带半干旱气候
铜陵市,气候,亚热带湿润季风气候
五常市,气候,中温带大陆性季风气候
北京市,气候,北温带季风气候
温州市,气候,中亚热带季风气候
同江市,气候,大陆性季风气候
临海市,气候,亚热带季风气候
吕梁市,气候,温带大陆性气候
永康市,气候,亚热带季风气候
虎林市,气候,北温带气候
林芝市,气候,高原气候
绵竹市,气候,亚热带季风气候
临夏市,气候,温带大陆性气候
湛江市,气候,热带季风气候
湛江市,气候,亚热带季风性气候
华蓥市,气候,亚热带季风气候
阿克苏市,气候,暖温带大陆性气候
太仓市,气候,亚热带季风气候
上海市,气候,亚热带季风气候
锦州市,气候,温带季风性气候
池州市,气候,气候温暖，四季分明
新沂市,气候,温带季风气候
三亚市,气候,热带海洋性季风气候
大冶市,气候,亚热带
敦化市,气候,温带大陆季风气候
临沂市,气候,温带季风性气候
应城市,气候,亚热带季风气候
邛崃市,气候,亚热带湿润气候
任丘市,气候,东部季风区暖温带半湿润气候
铁力市,气候,中温带大陆性季风气候
驻马店市,气候,亚热带向暖温带过渡地区
广汉市,气候,亚热带季风性湿润气候
瑞安市,气候,亚热带海洋型季风气候
华阴市,气候,温带大陆性气候
楚雄市,气候,北亚热带季风气候区
临湘市,气候,山湖交融，气候湿润，四季分明
瑞金市,气候,亚热带季风性湿润气候
玉林市,气候,亚热带季风气候
莱州市,气候,北温带东亚季风区大陆性气候
文山市,气候,亚热带气候
海安市,气候,亚热带季风气候
焦作市,气候,暖温带亚湿润季风气候
那曲市,气候,高原气候
济南市,气候,暖温带半湿润大陆性季风气候
凌源市,气候,北温带大陆性季风气候
拉萨市,气候,高原山地气候
青州市,气候,温带季风性气候
朝阳市,气候,北温带大陆性季风气候
兴宁市,气候,亚热带季风气候
界首市,气候,暖温带半湿润季风气候
宜春市,气候,中亚热带季风气候区
腾冲市,气候,热带季风气候
